wavelength_nm,Hb,HbO2
650,3.7351,0.3869
651,3.7039,0.3793
652,3.6727,0.3722
653,3.6414,0.3659
654,3.6126,0.3601
655,3.5841,0.3545
656,3.5555,0.3495
657,3.5269,0.3451
658,3.4982,0.341
659,3.4695,0.3376
660,3.4409,0.3346
661,3.4062,0.3318
662,3.3717,0.3294
663,3.3371,0.3276
664,3.299,0.326
665,3.2582,0.3245
666,3.2174,0.3234
667,3.1762,0.3227
668,3.1327,0.322
669,3.0891,0.3216
670,3.0455,0.3213
671,2.9993,0.3212
672,2.9515,0.3212
673,2.9045,0.3214
674,2.8569,0.3214
675,2.8087,0.3211
676,2.7606,0.3208
677,2.7124,0.3206
678,2.6652,0.3205
679,2.6183,0.3201
680,2.5713,0.3194
681,2.5248,0.3186
682,2.4788,0.3181
683,2.4329,0.3173
684,2.387,0.3163
685,2.3436,0.3157
686,2.3004,0.3151
687,2.2572,0.314
688,2.2162,0.3135
689,2.1772,0.3126
690,2.1382,0.3123
691,2.0997,0.3122
692,2.0656,0.3122
693,2.0315,0.3123
694,1.9974,0.3125
695,1.9665,0.313
696,1.937,0.314
697,1.9076,0.3148
698,1.8791,0.3164
699,1.853,0.3181
700,1.827,0.3199
701,1.801,0.3219
702,1.7777,0.3243
703,1.7548,0.3269
704,1.7319,0.3296
705,1.7099,0.3323
706,1.6887,0.3352
707,1.6675,0.3386
708,1.6464,0.3418
709,1.6267,0.345
710,1.607,0.3485
711,1.5873,0.3524
712,1.5677,0.3564
713,1.5481,0.3602
714,1.5285,0.3639
715,1.5093,0.368
716,1.4907,0.3724
717,1.4721,0.3765
718,1.4535,0.3807
719,1.4365,0.3854
720,1.4197,0.3899
721,1.4029,0.3943
722,1.3875,0.3988
723,1.3733,0.4035
724,1.3592,0.4083
725,1.3456,0.4133
726,1.3352,0.4181
727,1.3249,0.423
728,1.3146,0.4281
729,1.3081,0.4332
730,1.3029,0.4383
731,1.2976,0.4435
732,1.2946,0.4488
733,1.295,0.454
734,1.2953,0.4593
735,1.2959,0.4646
736,1.3028,0.47
737,1.3096,0.4754
738,1.3164,0.4811
739,1.3277,0.4865
740,1.3411,0.492
741,1.3545,0.4987
742,1.3697,0.5032
743,1.3887,0.5089
744,1.4078,0.5147
745,1.4268,0.5203
